Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Keegan Thompson,28,19,0,0,28.2,3,2,1,0,0,1.000,,,0,0,0,0.94,0.16,,2,1,0,0%,19%,0,P,thompke02
Luis Torrens,27,5,5,0,7.0,5,5,0,0,0,1.000,0,-15,0,0,0,6.43,0.42,0,0,1,0,0%,19%,0,C-LF-DH,torrelu01
Nelson Velázquez,24,8,7,5,62.0,14,14,0,0,0,1.000,-2,-46,-2,-39,0,2.03,1.08,,,,,,,,RF-CF-LF-DH,velazne01
Hayden Wesneski,25,34,11,0,89.1,14,7,7,0,1,1.000,,,1,2,0,1.41,0.41,,2,2,2,50%,19%,0,P,wesneha01
Jordan Wicks,23,7,7,0,34.2,5,1,4,0,0,1.000,,,-1,-6,0,1.30,0.71,,3,2,1,33%,19%,0,P,wicksjo01
Patrick Wisdom,31,82,70,52,590.2,242,133,95,14,20,.942,0,0,-7,-14,-1,3.47,2.38,,,,,,,,3B-1B-RF-LF-2B-DH,wisdopa01
Jared Young,27,14,10,8,93.0,83,78,3,2,6,.976,-4,-49,-3,-39,0,7.84,5.06,,,,,,,,1B-DH,youngja02
Infield Shifts,,,,,,,,,,,,,,6,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,5,,,,,,,,,,,,,-9999
Team Totals,28.7,162,1458,1130,12918.0,5888,4306,1490,92,137,.984,4,0,36,,,4.04,2.71,6,114,122,35,22%,19%,9,,-9999
Rank in 15 NL teams,,,,,,,,,13,,10,,,,,,,,,,,,,,,,-9999
