Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Ryder Ryan,28,1,0,0,1.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,ryanry01
Tayler Saucedo,30,52,0,0,47.2,12,0,10,2,0,.833,,,0,0,0,1.89,0.19,,1,4,1,20%,21%,0,P,sauceta01
Paul Sewald,33,45,0,0,43.0,5,3,2,0,0,1.000,,,0,0,0,1.05,0.11,,1,3,0,0%,21%,0,P,sewalpa01
Gabe Speier,28,69,0,0,54.2,7,3,4,0,0,1.000,,,-1,-4,0,1.15,0.10,,2,5,1,17%,21%,0,P,speiega01
Eugenio Suárez,31,159,158,151,1401.1,391,115,268,8,21,.980,-1,-1,-2,-2,1,2.46,2.36,,,,,,,,3B-DH,suareeu01
Devin Sweet,26,2,0,0,2.0,1,1,0,0,0,1.000,,,0,0,0,4.50,0.50,,0,0,0,,,0,P,sweetde01
Juan Then,23,9,0,0,11.0,3,2,1,0,0,1.000,,,-1,-18,0,2.45,0.33,,1,3,0,0%,21%,0,P,thenju01
Trent Thornton,29,23,1,0,26.0,3,1,2,0,0,1.000,,,0,0,0,1.04,0.13,,0,2,1,33%,21%,1,P,thorntr01
Justin Topa,32,75,0,0,69.0,22,7,13,2,0,.909,,,1,3,1,2.61,0.27,,0,6,3,33%,21%,1,P,topaju01
Luis Torrens,27,2,1,1,12.0,12,12,0,0,0,1.000,0,0,0,0,0,9.00,3.00,0,0,3,0,0%,21%,0,C-DH,torrelu01
Taylor Trammell,25,12,8,4,73.1,14,14,0,0,0,1.000,-3,-47,-2,-33,0,1.72,0.70,,,,,,,,LF-CF-DH,trammta01
Luke Weaver,29,5,1,0,13.1,5,0,5,0,0,1.000,,,1,15,0,3.38,1.00,,0,0,0,,,0,P,weavelu01
Kolten Wong,32,65,57,50,513.1,228,86,139,3,21,.987,-5,-11,-5,-12,0,3.94,3.46,,,,,,,,2B,wongko01
Bryan Woo,23,18,18,0,87.2,13,7,5,1,1,.923,,,-1,-2,0,1.23,0.67,,1,8,0,0%,21%,0,P,woobr01
Infield Shifts,,,,,,,,,,,,,,18,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,4,,,,,,,,,,,,,-9999
Team Totals,27.7,162,1458,1148,13044.0,5800,4348,1379,73,123,.987,12,1,15,,,3.95,2.66,4,82,111,28,20%,21%,5,,-9999
Rank in 15 AL teams,,,,,,,,,5,,5,,,,,,,,,,,,,,,,-9999
