Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Amed Rosario,27,42,26,12,268.0,114,44,69,1,23,.991,0,1,3,13,0,3.79,1.95,,,,,,,,2B-SS-DH,rosaram01
Tayler Scott,31,6,0,0,6.0,1,1,0,0,0,1.000,,,-1,-33,0,1.50,0.17,,0,3,0,0%,19%,0,P,scottta02
Emmet Sheehan,23,13,11,0,60.1,4,3,1,0,0,1.000,,,0,0,0,0.60,0.31,,1,4,1,20%,19%,0,P,sheehem01
Will Smith,28,111,106,105,959.0,973,937,32,4,3,.996,3,4,12,15,0,9.09,7.75,2,35,72,19,21%,19%,1,C-DH,smithwi05
Gavin Stone,24,8,4,0,31.0,4,2,2,0,0,1.000,,,0,0,0,1.16,0.50,,0,2,0,0%,19%,0,P,stonega01
Wander Suero,31,5,0,0,8.0,1,0,1,0,0,1.000,,,-1,-25,0,1.13,0.20,,0,4,0,0%,19%,0,P,suerowa01
Noah Syndergaard,30,12,12,0,55.1,12,7,5,0,1,1.000,,,-5,-18,-1,1.95,1.00,,0,20,1,5%,19%,0,P,syndeno01
Chris Taylor,32,109,79,58,769.1,238,128,105,5,13,.979,2,3,0,0,0,2.73,1.78,,,,,,,,LF-SS-3B-CF-2B-DH,tayloch03
Trayce Thompson,32,30,19,9,183.0,42,42,0,0,0,1.000,-2,-12,-3,-20,0,2.07,1.17,,,,,,,,CF-LF-RF-DH,thomptr01
Julio Urías,26,21,21,0,117.1,18,5,13,0,1,1.000,,,2,3,0,1.38,0.86,,2,11,6,35%,19%,3,P,uriasju01
Miguel Vargas,23,79,69,63,628.2,292,129,158,5,48,.983,-1,-2,-4,-8,0,4.11,3.38,,,,,,,,2B-1B-DH,vargami01
Gus Varland,26,8,0,0,11.2,3,0,2,1,1,.667,,,1,17,0,1.54,0.25,,2,1,0,0%,19%,0,P,varlagu01
Alex Vesia,27,56,1,0,49.2,3,0,3,0,0,1.000,,,-2,-8,0,0.54,0.05,,2,6,1,14%,19%,0,P,vesiaal01
Luke Williams,26,4,3,1,27.0,11,6,5,0,1,1.000,-1,-44,0,0,0,3.67,2.20,,0,0,0,,,0,SS-P,willilu01
Kolten Wong,32,11,3,2,45.0,23,7,15,1,3,.957,1,24,2,53,0,4.40,1.47,,,,,,,,2B-DH,wongko01
Austin Wynns,32,5,4,4,35.0,26,22,4,0,0,1.000,1,34,1,34,1,6.69,5.20,0,0,7,2,22%,19%,0,C,wynnsau01
Ryan Yarbrough,31,11,2,0,38.2,10,5,5,0,1,1.000,,,1,5,0,2.33,0.91,,0,5,1,17%,19%,1,P,yarbrry01
Infield Shifts,,,,,,,,,,,,,,21,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,7,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,6,,,,,,,,,,,,,-9999
Team Totals,29.8,162,1458,985,13017.0,5821,4339,1406,76,139,.987,42,4,57,,,3.97,2.50,5,98,142,29,17%,19%,7,,-9999
Rank in 15 NL teams,,,,,,,,,4,,4,,,,,,,,,,,,,,,,-9999
