Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Carlos Rodón,30,14,14,0,64.1,2,0,2,0,0,1.000,,,-1,-3,-1,0.28,0.14,,9,5,1,17%,21%,1,P,rodonca01
Ben Rortvedt,25,31,24,16,212.1,233,225,6,2,1,.991,1,6,2,11,-1,9.79,7.22,1,8,8,4,33%,21%,0,C-DH,rortvbe01
Clarke Schmidt,27,33,32,0,159.0,30,18,12,0,2,1.000,,,2,3,0,1.70,0.91,,11,8,3,27%,21%,0,P,schmicl01
Luis Severino,29,19,18,0,89.1,22,7,13,2,1,.909,,,2,4,0,2.01,1.05,,1,9,1,10%,21%,3,P,severlu01
Giancarlo Stanton,33,33,33,14,252.1,48,47,1,0,1,1.000,-3,-14,-3,-14,0,1.71,0.49,,,,,,,,RF-LF-DH,stantmi03
Gleyber Torres,26,145,141,138,1255.2,593,234,344,15,80,.975,7,7,-4,-4,-3,4.14,3.68,,,,,,,,2B-DH,torregl01
Jose Trevino,30,54,49,38,427.1,431,411,17,3,2,.993,4,11,7,20,1,9.01,7.93,2,11,23,8,26%,21%,3,C,trevijo01
Randy Vásquez,24,11,5,0,37.2,5,3,2,0,0,1.000,,,0,0,0,1.19,0.45,,3,2,0,0%,21%,0,P,vasqura02
Anthony Volpe,22,157,150,150,1346.2,560,186,357,17,63,.970,12,10,15,13,0,3.63,3.46,,,,,,,,SS,volpean01
Luke Weaver,29,3,3,0,13.1,1,0,1,0,0,1.000,,,0,0,0,0.68,0.33,,0,1,0,0%,21%,0,P,weavelu01
Ryan Weber,32,8,0,0,14.1,2,1,1,0,0,1.000,,,0,0,0,1.26,0.25,,0,3,0,0%,21%,0,P,weberry01
Greg Weissert,28,17,0,0,20.0,4,2,2,0,0,1.000,,,-1,-10,0,1.80,0.24,,1,5,1,17%,21%,0,P,weissgr01
Austin Wells,23,19,18,18,158.0,175,171,3,1,0,.994,-2,-15,-2,-15,-1,9.91,9.16,0,9,17,3,15%,21%,0,C,wellsau01
Infield Shifts,,,,,,,,,,,,,,18,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,0,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-1,,,,,,,,,,,,,-9999
Team Totals,28.5,162,1458,1108,12957.0,5842,4319,1427,96,113,.984,22,2,27,,,3.99,2.71,8,120,103,26,20%,21%,23,,-9999
Rank in 15 AL teams,,,,,,,,,12,,10,,,,,,,,,,,,,,,,-9999
