Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Alfonso Rivas III,26,8,5,3,44.0,41,37,4,0,6,1.000,2,44,0,0,0,8.39,5.13,,,,,,,,1B,rivasal01
Eguy Rosario,23,11,9,8,85.0,30,6,23,1,0,.967,1,16,2,28,0,3.07,2.42,,,,,,,,3B-2B,rosareg01
Gary Sánchez,30,63,56,52,508.2,599,557,39,3,2,.995,3,7,7,17,1,10.55,8.51,4,20,38,10,21%,19%,1,C-DH,sanchga02
Chandler Seagle,27,1,0,,,,,,,,,,,,,,,,,,,,,,,DH,seaglch01
Blake Snell,30,32,32,0,180.0,18,4,13,1,0,.944,,,-2,-2,0,0.85,0.53,,13,25,1,4%,19%,0,P,snellbl01
Juan Soto,24,154,154,140,1345.0,267,254,10,3,2,.989,-4,-3,-6,-5,1,1.77,1.64,,,,,,,,LF-DH,sotoju01
Robert Suarez,32,27,0,0,27.2,1,0,1,0,0,1.000,,,0,0,0,0.33,0.04,,0,2,1,33%,19%,0,P,suarero01
Brett Sullivan,29,32,24,18,221.0,227,209,14,4,0,.982,1,7,-1,-5,2,9.08,6.97,2,3,14,2,13%,19%,0,C-3B,sullibr01
Domingo Tapia,31,15,0,0,17.2,1,0,1,0,0,1.000,,,0,0,0,0.51,0.07,,0,1,1,50%,19%,0,P,tapiado01
Fernando Tatis Jr.,24,139,137,129,1206.1,303,284,13,6,1,.980,21,20,27,27,1,2.22,2.03,,,,,,,,RF-CF-2B-DH,tatisfe02
Michael Wacha,31,24,24,0,134.1,8,3,5,0,1,1.000,,,0,0,0,0.54,0.33,,3,4,3,43%,19%,0,P,wachami01
Matt Waldron,26,8,6,0,41.1,7,2,5,0,0,1.000,,,-1,-5,0,1.52,0.88,,0,8,0,0%,19%,1,P,waldrma01
Ryan Weathers,23,12,10,0,44.2,6,0,6,0,0,1.000,,,1,4,0,1.21,0.50,,1,0,2,100%,19%,4,P,weathry01
Steven Wilson,28,52,0,0,53.0,3,1,2,0,0,1.000,,,0,0,0,0.51,0.06,,0,2,0,0%,19%,0,P,wilsost02
Jackson Wolf,24,1,1,0,5.0,1,0,1,0,0,1.000,,,0,0,0,1.80,1.00,,0,0,0,,,0,P,wolfja01
Infield Shifts,,,,,,,,,,,,,,11,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,7,,,,,,,,,,,,,-9999
Team Totals,28.6,162,1458,1142,12969.0,5840,4323,1444,73,130,.988,44,4,40,,,4.00,2.72,9,96,120,21,15%,19%,12,,-9999
Rank in 15 NL teams,,,,,,,,,3,,3,,,,,,,,,,,,,,,,-9999
