Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Salvador Perez,33,111,111,92,920.1,845,804,39,2,15,.998,1,2,-11,-14,-1,8.24,5.90,2,39,54,9,14%,21%,1,C-1B-DH,perezsa02
Logan Porter,27,11,9,9,85.1,82,78,3,1,0,.988,0,0,-1,-14,0,8.54,7.36,0,5,7,1,13%,21%,0,C,portelo01
Nick Pratto,24,92,83,73,722.2,582,547,31,4,51,.993,1,1,-10,-17,1,7.20,5.84,,,,,,,,1B-LF-RF,prattni01
Cole Ragans,25,12,12,0,71.2,13,2,11,0,0,1.000,,,3,8,0,1.63,1.08,,4,1,2,67%,21%,0,P,raganco01
Franmil Reyes,27,5,4,2,32.0,6,6,0,0,0,1.000,1,30,0,0,0,1.69,0.35,,,,,,,,LF-RF-DH,reyesfr01
Brady Singer,26,29,29,0,159.2,30,14,15,1,0,.967,,,0,0,-1,1.63,1.00,,3,11,3,21%,21%,0,P,singebr01
Collin Snider,27,20,1,0,20.1,3,1,2,0,1,1.000,,,0,0,0,1.33,0.15,,0,2,0,0%,21%,0,P,snideco01
Josh Staumont,29,21,1,0,20.0,3,0,3,0,0,1.000,,,0,0,0,1.35,0.14,,3,2,0,0%,21%,0,P,staumjo01
Josh Taylor,30,17,1,0,17.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,2,0,0%,21%,0,P,taylojo02
Samad Taylor,24,26,20,8,168.0,57,43,13,1,4,.982,-1,-7,-2,-14,0,3.00,1.87,,,,,,,,LF-2B-3B-CF,taylosa04
Nelson Velázquez,24,26,24,16,206.0,57,56,0,1,0,.982,3,17,1,6,0,2.45,1.33,,,,,,,,RF-LF-DH,velazne01
Anthony Veneziano,25,2,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,venezan01
Drew Waters,24,90,83,71,721.2,212,200,7,5,1,.976,-1,-2,1,2,-1,2.58,1.93,,,,,,,,CF-RF-LF-DH,waterdr01
Bobby Witt Jr.,23,149,147,143,1280.0,525,169,344,12,69,.977,-14,-13,-6,-6,2,3.61,3.23,,,,,,,,SS-DH,wittbo02
Nick Wittgren,32,27,0,0,29.0,5,3,2,0,0,1.000,,,0,0,0,1.55,0.19,,1,1,1,50%,21%,0,P,wittgni01
Ryan Yarbrough,31,14,7,0,51.0,9,1,8,0,0,1.000,,,1,4,0,1.59,0.64,,1,3,4,57%,21%,1,P,yarbrry01
Angel Zerpa,23,15,3,0,42.2,14,1,12,1,0,.929,,,2,9,1,2.74,0.87,,1,1,1,50%,21%,2,P,zerpaan01
Infield Shifts,,,,,,,,,,,,,,2,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,5,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-7,,,,,,,,,,,,,-9999
Team Totals,27.1,162,1458,1081,12681.0,5698,4227,1391,80,123,.986,-19,-2,-15,,,3.99,2.58,9,134,105,26,20%,21%,21,,-9999
Rank in 15 AL teams,,,,,,,,,7,,7,,,,,,,,,,,,,,,,-9999
