Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Elehuris Montero,24,66,64,57,553.2,476,428,43,5,57,.989,-9,-20,0,0,1,7.66,5.61,,,,,,,,1B-3B-DH,monteel01
Mike Moustakas,34,32,23,17,215.2,190,164,25,1,14,.995,-1,-6,2,11,1,7.89,4.61,,,,,,,,1B-3B-DH,moustmi01
Riley Pint,25,1,0,0,0.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,pintri01
Jurickson Profar,30,89,86,81,740.2,158,151,3,4,0,.975,1,1,-11,-18,0,1.87,1.45,,,,,,,,LF-DH,profaju01
Brendan Rodgers,26,43,43,43,372.2,174,71,103,0,28,1.000,-2,-5,-1,-3,-1,4.20,3.78,,,,,,,,2B-DH,rodgebr02
Connor Seabold,27,27,13,0,87.1,16,5,11,0,3,1.000,,,2,5,0,1.65,0.59,,5,1,0,0%,19%,0,P,seaboco01
Antonio Senzatela,28,2,2,0,7.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,1,100%,19%,0,P,senzaan01
Brian Serven,28,10,8,4,64.0,64,59,3,2,0,.969,1,19,0,0,0,8.72,5.64,0,2,7,5,42%,19%,0,C-DH,servebr01
Brent Suter,33,57,2,0,69.1,23,8,14,1,1,.957,,,4,12,0,2.86,0.39,,1,3,3,50%,19%,3,P,suterbr01
Michael Toglia,24,43,37,34,336.2,240,225,14,1,25,.996,1,2,-2,-7,0,6.39,5.31,,,,,,,,1B-RF-LF-DH,toglimi01
Ezequiel Tovar,21,153,152,149,1327.0,578,179,392,7,95,.988,6,5,13,12,0,3.87,3.73,,,,,,,,SS,tovarez01
Alan Trejo,27,79,59,43,529.0,261,91,164,6,38,.977,4,9,3,7,1,4.34,3.04,,0,0,0,,,0,2B-3B-SS-P-DH,trejoal01
Cole Tucker,26,3,1,0,18.2,4,3,0,1,0,.750,0,-13,-1,-64,0,1.45,0.50,,,,,,,,RF-CF-DH,tuckeco01
José Ureña,31,5,5,0,18.1,2,0,2,0,1,1.000,,,0,0,-1,0.98,0.40,,1,3,2,40%,19%,0,P,urenajo01
Victor Vodnik,23,6,0,0,8.2,2,2,0,0,0,1.000,,,0,0,0,2.08,0.33,,0,2,0,0%,19%,0,P,vodnivi01
Austin Wynns,32,45,37,30,332.1,303,285,16,2,4,.993,3,11,3,11,-2,8.15,6.69,4,11,20,10,33%,19%,1,C,wynnsau01
Infield Shifts,,,,,,,,,,,,,,5,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-8,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,3,,,,,,,,,,,,,-9999
Team Totals,28.4,162,1458,1146,12726.0,5839,4242,1516,81,169,.986,5,0,20,,,4.07,2.69,10,102,101,37,27%,19%,13,,-9999
Rank in 15 NL teams,,,,,,,,,6,,6,,,,,,,,,,,,,,,,-9999
