Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Ramón Urías,29,113,95,69,865.1,311,124,181,6,36,.981,5,7,4,6,0,3.17,2.35,,,,,,,,3B-2B-1B-DH,uriasra01
Chris Vallimont,26,1,0,0,0.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,vallich01
Terrin Vavra,26,20,13,4,118.0,26,24,2,0,1,1.000,-2,-15,-4,-41,0,1.98,1.00,,,,,,,,RF-LF-3B-2B-DH,vavrate01
Nick Vespi,27,9,0,0,14.2,1,0,1,0,0,1.000,,,0,0,0,0.61,0.11,,0,0,1,100%,21%,0,P,vespini01
Austin Voth,31,25,0,0,34.2,8,3,5,0,1,1.000,,,1,6,0,2.08,0.32,,0,1,0,0%,21%,0,P,vothau01
Jacob Webb,29,25,0,0,22.0,5,0,4,1,0,.800,,,-1,-9,0,1.64,0.16,,0,0,0,,,0,P,webbja01
Tyler Wells,28,25,20,0,118.2,25,9,13,3,2,.880,,,2,3,0,1.67,0.88,,3,2,1,33%,21%,2,P,wellsty01
Jordan Westburg,24,66,53,30,488.2,207,59,147,1,23,.995,9,21,2,5,0,3.79,2.58,,,,,,,,2B-3B-DH,westbjo01
Bruce Zimmermann,28,7,0,0,13.1,3,0,1,2,0,.333,,,-1,-15,0,0.68,0.14,,1,0,0,,,0,P,zimmebr02
Infield Shifts,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-4,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,4,,,,,,,,,,,,,-9999
Team Totals,27.7,162,1458,991,13083.0,5876,4361,1444,71,140,.988,37,3,34,,,3.99,2.52,2,128,88,31,26%,21%,9,,-9999
Rank in 15 AL teams,,,,,,,,,3,,2,,,,,,,,,,,,,,,,-9999
