Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Ross Stripling,33,22,11,0,89.0,15,3,11,1,0,.933,,,-1,-2,0,1.42,0.64,,2,6,3,33%,19%,0,P,stripro01
David Villar,26,40,30,20,275.0,131,73,56,2,12,.985,-4,-17,0,0,2,4.22,2.63,,0,0,0,,,0,2B-3B-1B-P-DH,villada01
LaMonte Wade Jr.,29,132,114,87,999.2,968,888,70,10,84,.990,-3,-3,0,0,1,8.62,6.75,,,,,,,,1B-LF-RF-CF-DH,wadela01
Cole Waites,25,3,0,0,2.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,2,0,0%,19%,0,P,waiteco01
Ryan Walker,27,49,13,0,61.1,17,6,10,1,0,.941,,,2,7,0,2.35,0.33,,3,5,5,50%,19%,2,P,walkery01
Logan Webb,26,33,33,2,216.0,38,17,20,1,4,.974,,,-1,-1,0,1.54,1.12,,1,20,4,17%,19%,0,P,webblo01
Keaton Winn,25,9,5,0,42.1,3,1,2,0,0,1.000,,,-1,-5,0,0.64,0.33,,1,3,2,40%,19%,0,P,winnke01
Brett Wisely,24,51,39,26,342.0,154,71,79,4,17,.974,2,8,4,14,1,3.95,2.59,,0,0,0,,,0,2B-CF-SS-LF-P,wiselbr01
Alex Wood,32,29,12,0,97.2,21,10,10,1,1,.952,,,-1,-2,0,1.84,0.69,,3,4,1,20%,19%,0,P,woodal02
Austin Wynns,32,1,1,0,7.0,8,8,0,0,0,1.000,0,0,0,0,0,10.29,8.00,0,0,0,0,,,0,C,wynnsau01
Mike Yastrzemski,32,103,90,56,783.2,182,175,6,1,1,.995,6,9,9,14,2,2.08,1.45,,,,,,,,CF-RF-LF-DH,yastrmi01
Infield Shifts,,,,,,,,,,,,,,13,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-3,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Team Totals,28.7,162,1458,965,12912.0,6027,4304,1606,117,143,.981,-24,-2,-15,,,4.12,2.62,15,120,124,36,23%,19%,13,,-9999
Rank in 15 NL teams,,,,,,,,,15,,15,,,,,,,,,,,,,,,,-9999
