Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Michael A. Taylor,32,126,110,87,960.1,293,289,1,3,0,.990,6,8,5,6,-2,2.72,2.28,,,,,,,,CF-DH,taylomi02
Caleb Thielbar,36,36,0,0,30.2,3,1,2,0,0,1.000,,,0,0,0,0.88,0.08,,1,2,1,33%,21%,0,P,thielca01
Louie Varland,25,17,10,0,68.0,8,4,4,0,1,1.000,,,1,3,0,1.06,0.47,,2,1,1,50%,21%,0,P,varlalo01
Christian Vázquez,32,100,92,80,819.1,951,913,29,9,13,.991,2,3,3,4,1,10.35,9.06,3,25,54,17,24%,21%,0,C-1B-2B-DH,vazquch01
Matt Wallner,25,66,57,33,487.2,100,97,2,1,0,.990,1,3,1,2,0,1.83,1.22,,,,,,,,LF-RF-DH,wallnma01
Josh Winder,26,19,0,0,34.2,4,1,3,0,1,1.000,,,0,0,0,1.04,0.21,,1,4,1,20%,21%,1,P,windejo01
Simeon Woods Richardson,22,1,0,0,4.2,1,0,1,0,0,1.000,,,0,0,0,1.93,1.00,,0,0,0,,,0,P,woodssi01
Infield Shifts,,,,,,,,,,,,,,16,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,4,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Team Totals,28.7,162,1458,924,13062.0,5706,4354,1286,66,116,.988,-3,0,33,,,3.89,2.45,9,102,94,30,24%,21%,10,,-9999
Rank in 15 AL teams,,,,,,,,,2,,2,,,,,,,,,,,,,,,,-9999
