Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Michael Tonkin,33,45,0,0,80.0,4,1,3,0,0,1.000,,,-2,-5,-1,0.45,0.09,,2,7,0,0%,19%,0,P,tonkimi01
Chadwick Tromp,28,6,5,4,44.0,53,53,0,0,0,1.000,0,4,0,0,0,10.84,8.83,0,1,4,1,20%,19%,0,C,trompch01
Darius Vines,25,5,2,0,20.1,2,1,0,1,0,.500,,,0,0,0,0.44,0.20,,0,2,1,33%,19%,0,P,vinesda01
Forrest Wall,27,9,2,2,30.0,8,8,0,0,0,1.000,0,16,0,0,0,2.40,0.67,,,,,,,,LF-CF-RF-DH,wallfo01
Eli White,29,5,5,2,41.0,9,9,0,0,0,1.000,1,25,1,29,0,1.98,1.80,,,,,,,,CF,whiteel04
Luke Williams,26,4,1,1,17.0,8,5,3,0,0,1.000,0,-24,1,71,0,4.24,1.60,,,,,,,,3B-1B-LF-DH,willilu01
Allan Winans,27,6,6,0,32.1,6,4,2,0,0,1.000,,,-1,-6,0,1.67,1.00,,0,1,1,50%,19%,0,P,winanal01
Kyle Wright,27,9,7,0,31.0,8,3,4,1,1,.875,,,0,0,0,2.03,0.78,,2,2,0,0%,19%,0,P,wrighky01
Kirby Yates,36,61,0,0,60.1,8,3,4,1,0,.875,,,-1,-3,0,1.04,0.11,,5,11,3,21%,19%,1,P,yateski01
Danny Young,29,8,0,0,8.1,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,1,100%,19%,0,P,youngda02
Infield Shifts,,,,,,,,,,,,,,13,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,2,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-10,,,,,,,,,,,,,-9999
Team Totals,28.8,162,1458,1210,12960.0,5741,4320,1339,82,134,.986,15,1,16,,,3.93,2.72,4,112,128,28,18%,19%,8,,-9999
Rank in 15 NL teams,,,,,,,,,7,,6,,,,,,,,,,,,,,,,-9999
