Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Tyrone Taylor,29,75,65,46,576.1,134,130,4,0,2,1.000,11,22,4,8,0,2.09,1.47,,,,,,,,RF-LF-CF-DH,tayloty01
Julio Teherán,32,14,11,0,71.2,22,6,16,0,1,1.000,,,4,11,0,2.76,1.57,,1,9,3,25%,19%,3,P,teherju01
Rowdy Tellez,28,77,62,51,571.0,519,468,49,2,46,.996,1,1,0,0,1,8.15,5.33,,0,0,0,,,0,1B-P-DH,tellero01
Abraham Toro,26,6,4,1,31.0,17,11,5,1,3,.941,-3,-134,-2,-77,0,4.65,2.29,,,,,,,,3B-1B-DH,toroab01
Brice Turang,23,135,113,97,1043.0,481,180,295,6,61,.988,5,5,12,14,2,4.10,3.35,,,,,,,,2B-SS-DH,turanbr02
Luis Urías,26,19,17,13,149.0,50,18,31,1,6,.980,0,-2,0,0,0,2.96,2.23,,,,,,,,3B-2B,uriaslu01
Abner Uribe,23,32,0,0,30.2,4,3,1,0,0,1.000,,,1,7,0,1.17,0.13,,6,4,0,0%,19%,0,P,uribeab01
Gus Varland,26,8,0,0,8.2,1,0,1,0,0,1.000,,,0,0,0,1.04,0.13,,0,1,0,0%,19%,0,P,varlagu01
Thyago Vieira,30,2,0,0,3.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,1,0,0%,19%,0,P,vieirth01
Luke Voit,32,11,11,11,96.0,97,85,12,0,7,1.000,1,9,1,13,1,9.09,4.62,,,,,,,,1B-DH,voitlu01
Joey Wiemer,24,132,113,99,1026.0,297,287,7,3,1,.990,7,8,5,6,2,2.58,2.18,,,,,,,,CF-RF-LF,wiemejo01
Devin Williams,28,61,0,0,58.2,9,6,3,0,0,1.000,,,-1,-3,0,1.38,0.15,,1,10,1,9%,19%,0,P,willide03
Bryse Wilson,25,53,0,0,76.2,9,5,4,0,0,1.000,,,0,0,0,1.06,0.17,,6,4,0,0%,19%,0,P,wilsobr02
Jesse Winker,29,6,46,0,8.1,1,1,0,0,0,1.000,1,73,0,0,0,1.08,0.02,,,,,,,,RF-LF-DH,winkeje01
Brandon Woodruff,30,11,11,1,67.0,7,4,3,0,1,1.000,,,-1,-3,0,0.94,0.64,,0,4,2,33%,19%,0,P,woodrbr01
Christian Yelich,31,122,121,109,1051.0,224,222,0,2,0,.991,3,3,-3,-3,-4,1.90,1.56,,,,,,,,LF-DH,yelicch01
Infield Shifts,,,,,,,,,,,,,,13,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-6,,,,,,,,,,,,,-9999
Team Totals,27.8,162,1458,1059,12987.0,5813,4329,1407,77,117,.987,62,6,68,,,3.98,2.63,2,108,121,23,16%,19%,12,,-9999
Rank in 15 NL teams,,,,,,,,,5,,4,,,,,,,,,,,,,,,,-9999
