Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
José Quijada,27,10,0,0,9.0,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,0,0,,,0,P,quijajo01
Anthony Rendon,33,43,43,35,359.2,110,39,63,8,6,.927,-5,-15,-5,-17,0,2.55,2.37,,,,,,,,3B,rendoan01
Hunter Renfroe,31,126,117,114,1047.0,254,239,10,5,4,.980,-13,-15,-7,-8,1,2.14,1.96,,,,,,,,RF-1B,renfrhu01
Luis Rengifo,26,120,106,58,923.1,372,173,187,12,46,.968,-12,-15,-8,-10,-2,3.51,2.47,,,,,,,,2B-SS-3B-RF-LF-CF,rengilu01
Gerardo Reyes,30,8,0,0,9.2,1,0,1,0,0,1.000,,,0,0,0,0.93,0.13,,2,3,0,0%,21%,0,P,reyesge01
Kenny Rosenberg,27,7,3,0,33.0,6,1,5,0,0,1.000,,,1,6,0,1.64,0.86,,0,3,3,50%,21%,3,P,rosenke01
Patrick Sandoval,26,28,28,0,144.2,29,7,20,2,0,.931,,,4,6,0,1.68,0.96,,5,7,3,30%,21%,2,P,sandopa02
Nolan Schanuel,21,28,28,25,244.0,192,177,13,2,20,.990,-2,-10,-2,-10,0,7.01,6.55,,,,,,,,1B-DH,schanno01
Chase Silseth,23,16,8,0,52.1,7,4,3,0,0,1.000,,,0,0,0,1.20,0.44,,5,3,0,0%,21%,0,P,silsech01
José Soriano,24,38,0,0,42.0,2,0,0,2,0,.000,,,0,0,0,0.00,0.00,,2,1,2,67%,21%,0,P,soriajo02
Livan Soto,23,4,4,2,29.0,14,4,9,1,3,.929,-2,-62,0,0,0,4.03,3.25,,,,,,,,SS-2B,sotoli01
Michael Stefanic,27,20,18,12,144.2,49,25,22,2,6,.959,-3,-24,-1,-8,0,2.92,2.14,,,,,,,,2B-3B-DH,stefami01
José Suarez,25,11,7,0,33.2,3,1,2,0,0,1.000,,,1,6,0,0.80,0.27,,2,0,1,100%,21%,1,P,suarejo01
Ryan Tepera,35,10,0,0,8.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,0,2,1,33%,21%,0,P,teperry01
Matt Thaiss,28,84,66,54,600.0,636,614,14,8,1,.987,0,0,-3,-6,0,9.42,6.98,2,26,34,7,17%,21%,0,C-1B-DH,thaisma01
Mike Trout,31,79,79,72,681.0,185,183,2,0,1,1.000,-3,-5,1,2,4,2.44,2.28,,,,,,,,CF-DH,troutmi01
Gio Urshela,31,61,56,45,496.2,246,145,94,7,22,.972,2,6,4,10,0,4.33,3.46,,,,,,,,3B-1B-SS-2B,urshegi01
