Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Lane Ramsey,26,21,0,0,20.0,4,2,2,0,1,1.000,,,-1,-10,0,1.80,0.19,,3,4,0,0%,21%,0,P,ramsela02
Zach Remillard,29,49,39,29,364.2,166,72,90,4,19,.976,-2,-5,0,0,1,4.00,2.75,,,,,,,,2B-3B-LF-RF-SS-DH,remilza01
Luis Robert Jr.,25,143,141,129,1207.2,380,370,7,3,3,.992,-11,-11,6,6,4,2.81,2.64,,,,,,,,CF,roberlu01
José Rodriguez,22,1,0,0,1.0,1,0,1,0,0,1.000,0,120,0,0,0,9.00,1.00,,,,,,,,2B,rodrijo09
José Ruiz,28,4,0,0,3.2,1,0,1,0,0,1.000,,,0,0,0,2.45,0.25,,0,2,0,0%,21%,0,P,ruizjo01
Gregory Santos,23,60,0,0,66.1,9,3,6,0,0,1.000,,,-3,-9,-1,1.22,0.15,,2,10,3,23%,21%,0,P,santogr01
Jesse Scholtens,29,26,11,0,85.0,12,4,8,0,1,1.000,,,-1,-2,0,1.27,0.46,,1,7,3,30%,21%,0,P,scholje01
Bryan Shaw,35,38,0,0,45.2,8,3,4,1,0,.875,,,1,4,0,1.38,0.18,,1,2,0,0%,21%,0,P,shawbr01
Gavin Sheets,27,91,82,32,659.0,211,198,10,3,15,.986,-6,-12,-5,-9,-2,2.84,1.93,,,,,,,,RF-1B-LF-DH,sheetga01
Lenyn Sosa,23,50,44,39,398.2,173,68,102,3,23,.983,-1,-3,-3,-9,-1,3.84,3.15,,,,,,,,2B-3B,sosale01
Trayce Thompson,32,34,21,18,216.0,51,49,2,0,0,1.000,1,6,0,0,0,2.13,1.50,,,,,,,,CF-RF-LF,thomptr01
Touki Toussaint,27,19,15,0,83.1,16,6,9,1,1,.938,,,-1,-2,0,1.62,0.79,,2,8,2,20%,21%,1,P,toussto01
José Ureña,31,5,5,0,26.1,4,2,1,1,1,.750,,,-1,-8,0,1.03,0.60,,1,2,2,50%,21%,0,P,urenajo01
Andrew Vaughn,25,143,139,132,1229.1,1024,950,69,5,87,.995,0,0,0,0,0,7.46,6.70,,,,,,,,1B-DH,vaughan01
Seby Zavala,29,65,52,39,464.2,509,490,16,3,1,.994,-2,-5,7,18,1,9.80,7.78,4,17,38,7,16%,21%,0,C,zavalse01
Infield Shifts,,,,,,,,,,,,,,10,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,-2,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-3,,,,,,,,,,,,,-9999
Team Totals,28.4,162,1458,1088,12885.0,5639,4295,1249,95,117,.983,-50,-5,-59,,,3.87,2.54,11,130,170,35,17%,21%,7,,-9999
Rank in 15 AL teams,,,,,,,,,10,,11,,,,,,,,,,,,,,,,-9999
