Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
Mason Thompson,25,51,0,0,54.0,12,3,9,0,2,1.000,,,-1,-4,0,2.00,0.24,,4,6,2,25%,19%,0,P,thompma02
Ildemaro Vargas,31,78,66,52,611.1,234,80,148,6,22,.974,4,8,2,4,-1,3.36,2.48,,0,0,0,,,0,3B-SS-2B-LF-P-RF,vargail01
Thaddeus Ward,26,26,0,0,35.1,8,4,4,0,1,1.000,,,1,6,0,2.04,0.31,,1,2,2,50%,19%,1,P,wardth01
Jordan Weems,30,51,0,0,54.2,4,1,3,0,0,1.000,,,1,4,0,0.66,0.08,,0,3,0,0%,19%,0,P,weemsjo01
Amos Willingham,24,18,0,0,24.1,8,3,5,0,1,1.000,,,2,16,0,2.96,0.44,,0,1,1,50%,19%,0,P,william01
Trevor Williams,31,30,30,0,144.1,34,21,12,1,2,.971,,,-1,-1,0,2.06,1.10,,0,9,1,10%,19%,0,P,willitr01
Jacob Young,23,32,32,32,283.0,84,81,2,1,1,.988,-6,-25,0,0,-1,2.64,2.52,,,,,,,,CF-DH,youngja03
Infield Shifts,,,,,,,,,,,,,,0,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,6,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,-21,,,,,,,,,,,,,-9999
Team Totals,27.0,162,1458,1148,12855.0,5880,4285,1505,90,158,.985,-27,-3,-30,,,4.05,2.73,11,108,160,32,17%,19%,24,,-9999
Rank in 15 NL teams,,,,,,,,,9,,8,,,,,,,,,,,,,,,,-9999
