Name,Age,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood,RF/9,RF/G,PB,WP,SB,CS,CS%,lgCS%,PO,Pos Summary,Name-additional
George Springer,33,131,128,120,1139.2,267,261,6,0,1,1.000,19,20,2,2,0,2.11,1.75,,,,,,,,RF-CF-DH,springe01
Erik Swanson,29,69,0,0,66.2,6,3,3,0,0,1.000,,,-1,-3,0,0.81,0.09,,0,8,1,11%,21%,1,P,swanser01
Trent Thornton,29,4,0,0,5.1,0,0,0,0,0,,,,0,0,0,0.00,0.00,,0,1,0,0%,21%,0,P,thorntr01
Daulton Varsho,26,157,141,112,1280.0,323,312,10,1,2,.997,4,4,29,27,2,2.26,1.77,,,,,,,,LF-CF-DH,varshda01
Mitch White,28,10,0,0,12.2,0,0,0,0,0,,,,0,0,,0.00,0.00,,1,1,0,0%,21%,0,P,whitemi03
Infield Shifts,,,,,,,,,,,,,,15,,,,,,,,,,,,,-9999
Non-Shift Infield Positioning,,,,,,,,,,,,,,1,,,,,,,,,,,,,-9999
Outfield Positioning,,,,,,,,,,,,,,7,,,,,,,,,,,,,-9999
Team Totals,29.2,162,1458,1084,13065.0,5733,4355,1307,71,125,.988,21,2,85,,,3.90,2.57,2,84,131,24,15%,21%,12,,-9999
Rank in 15 AL teams,,,,,,,,,3,,2,,,,,,,,,,,,,,,,-9999
