Inning,Batter_Avg,strike_percentage,At_Bat_Outcome
1,0.207,0.640,hit
1,0.354,0.640,strikeout
1,0.230,0.640,strikeout
1,0.255,0.640,hit
2,0.260,0.640,strikeout
2,0.213,0.640,hit
2,0.218,0.640,strikeout
2,0.299,0.640,hit
3,0.176,0.640,strikeout
3,0.207,0.640,hit
3,0.354,0.640,hit
3,0.230,0.640,hit
3,0.255,0.640,hit
4,0.260,0.640,hit
4,0.213,0.640,hit
4,0.218,0.640,hit
5,0.299,0.640,strikeout
5,0.176,0.640,hit
5,0.207,0.640,strikeout
6,0.354,0.640,hit
6,0.230,0.640,strikeout
6,0.255,0.640,hit
6,0.213,0.690,walk
6,0.276,0.690,hit
6,0.299,0.690,hit
7,0.176,0.690,hit
7,0.207,0.550,hit
7,0.354,0.550,strikeout
7,0.230,0.550,hit
7,0.255,0.550,hit
8,0.213,0.550,walk
8,0.276,0.550,hit
8,0.299,0.550,hit
9,0.276,0.610,strikeout
9,0.255,0.610,hit
9,0.235,0.610,strikeout
1,0.233,0.640,strikeout
1,0.277,0.640,strikeout
1,0.257,0.640,strikeout
1,0.258,0.630,strikeout
1,0.264,0.630,hit
1,0.306,0.630,hit
2,0.270,0.640,hit
2,0.255,0.640,hit
2,0.264,0.640,hit
2,0.258,0.630,hit
2,0.235,0.630,hit
2,0.240,0.630,hit
3,0.275,0.640,walk
3,0.217,0.640,hit
3,0.228,0.630,hit
3,0.258,0.630,hit
3,0.264,0.630,hit
4,0.233,0.640,hit
4,0.277,0.640,hit
4,0.257,0.640,strikeout
4,0.270,0.640,hit
4,0.255,0.640,strikeout
4,0.306,0.630,hit
4,0.258,0.630,hit
4,0.235,0.630,strikeout
5,0.264,0.640,strikeout
5,0.275,0.640,strikeout
5,0.240,0.630,hit
5,0.228,0.630,hit
5,0.258,0.630,hit
5,0.264,0.630,strikeout
6,0.217,0.630,strikeout
6,0.233,0.630,hit
6,0.277,0.630,strikeout
7,0.257,0.660,hit
7,0.270,0.660,hit
7,0.255,0.660,hit
7,0.264,0.660,strikeout
7,0.228,0.630,hit
7,0.258,0.630,strikeout
7,0.264,0.630,hit
8,0.306,0.630,hit
8,0.258,0.630,hit
8,0.235,0.630,hit
8,0.240,0.630,strikeout
9,0.257,0.640,hit
9,0.270,0.640,hit
9,0.255,0.640,hit
9,0.264,0.640,hit
1,0.267,0.650,hit
1,0.244,0.650,hit
1,0.273,0.650,strikeout
1,0.258,0.660,hit
1,0.306,0.660,strikeout
1,0.264,0.660,strikeout
1,0.250,0.660,hit
2,0.191,0.650,hit
2,0.211,0.650,hit
2,0.242,0.650,strikeout
2,0.240,0.660,hit
2,0.258,0.660,strikeout
3,0.236,0.650,hit
3,0.188,0.650,hit
3,0.267,0.650,walk
3,0.244,0.650,hit
3,0.273,0.650,hit
3,0.191,0.650,strikeout
3,0.272,0.660,hit
3,0.235,0.660,strikeout
3,0.258,0.660,hit
3,0.306,0.660,hit
4,0.211,0.650,hit
4,0.242,0.650,hit
4,0.236,0.650,hit
4,0.188,0.650,strikeout
4,0.264,0.660,hit
4,0.250,0.660,strikeout
4,0.240,0.660,hit
5,0.267,0.650,walk
5,0.244,0.650,hit
5,0.273,0.650,hit
5,0.191,0.650,strikeout
5,0.211,0.650,hit
5,0.258,0.660,hit
5,0.272,0.660,hit
6,0.242,0.650,hit
6,0.236,0.650,hit
6,0.188,0.650,hit
6,0.235,0.660,hit
6,0.258,0.660,hit
6,0.306,0.660,hit
6,0.264,0.660,hit
7,0.250,0.660,hit
7,0.240,0.660,hit
7,0.258,0.660,strikeout
8,0.272,0.660,hit
8,0.235,0.660,hit
1,0.258,0.640,hit
1,0.264,0.640,hit
1,0.306,0.640,walk
1,0.240,0.640,hit
2,0.258,0.640,hit
2,0.228,0.640,walk
2,0.248,0.640,hit
2,0.272,0.640,hit
3,0.258,0.640,hit
3,0.264,0.640,walk
3,0.306,0.640,hit
3,0.240,0.640,hit
4,0.258,0.640,strikeout
4,0.228,0.640,hit
4,0.248,0.640,hit
5,0.272,0.640,hit
5,0.258,0.640,hit
5,0.264,0.640,hit
5,0.306,0.640,walk
5,0.240,0.640,strikeout
6,0.258,0.640,strikeout
6,0.228,0.640,walk
7,0.233,0.640,hit
7,0.277,0.640,walk
7,0.257,0.640,hit
8,0.255,0.660,strikeout
8,0.275,0.660,hit
9,0.264,0.660,hit
9,0.233,0.660,walk
9,0.277,0.660,hit
9,0.257,0.660,hit
9,0.255,0.660,hit
1,0.276,0.650,walk
1,0.327,0.650,hit
1,0.270,0.650,walk
1,0.262,0.650,hit
1,0.245,0.650,hit
1,0.264,0.630,hit
1,0.258,0.660,strikeout
1,0.306,0.660,hit
1,0.264,0.660,hit
2,0.276,0.630,hit
2,0.327,0.630,hit
2,0.270,0.630,hit
2,0.262,0.630,hit
2,0.258,0.660,strikeout
2,0.261,0.660,hit
2,0.250,0.660,strikeout
3,0.245,0.670,walk
3,0.264,0.670,hit
3,0.240,0.660,hit
3,0.228,0.660,hit
3,0.235,0.660,hit
4,0.276,0.670,hit
4,0.327,0.670,walk
4,0.270,0.670,hit
4,0.262,0.670,hit
4,0.245,0.670,hit
4,0.258,0.660,walk
4,0.306,0.660,hit
4,0.264,0.660,hit
4,0.258,0.660,walk
4,0.261,0.660,hit
4,0.250,0.660,hit
4,0.240,0.660,strikeout
5,0.264,0.660,hit
5,0.228,0.690,hit
5,0.248,0.690,hit
5,0.258,0.690,walk
5,0.306,0.690,hit
5,0.264,0.650,hit
5,0.258,0.650,hit
5,0.261,0.650,hit
6,0.276,0.640,hit
6,0.327,0.640,hit
6,0.250,0.650,hit
6,0.240,0.650,strikeout
6,0.228,0.650,walk
6,0.248,0.650,hit
6,0.258,0.630,strikeout
7,0.270,0.660,hit
7,0.262,0.660,hit
7,0.245,0.660,hit
7,0.306,0.630,hit
7,0.264,0.630,hit
7,0.258,0.630,walk
7,0.261,0.630,hit
7,0.250,0.630,hit
8,0.264,0.640,hit
8,0.276,0.640,hit
9,0.327,0.660,strikeout
9,0.270,0.660,hit
9,0.262,0.660,strikeout
5,0.278,0.700,hit
5,0.258,0.700,hit
5,0.230,0.700,hit
6,0.288,0.700,walk
6,0.222,0.700,walk
6,0.278,0.700,hit
7,0.258,0.610,hit
7,0.230,0.610,strikeout
7,0.288,0.610,strikeout
7,0.266,0.570,hit
7,0.276,0.570,hit
8,0.204,0.700,hit
8,0.276,0.580,hit
8,0.327,0.580,walk
8,0.262,0.580,strikeout
8,0.245,0.580,hit
8,0.266,0.580,hit
9,0.278,0.610,hit
9,0.258,0.610,hit
9,0.230,0.610,hit
9,0.258,0.660,hit
9,0.276,0.660,walk
9,0.276,0.660,hit
9,0.327,0.660,hit
9,0.262,0.660,hit
9,0.245,0.670,strikeout
1,0.276,0.700,walk
1,0.327,0.700,hit
1,0.262,0.700,hit
1,0.245,0.700,strikeout
2,0.258,0.700,hit
2,0.266,0.700,hit
2,0.276,0.700,hit
2,0.170,0.700,hit
2,0.276,0.700,strikeout
2,0.327,0.700,hit
3,0.262,0.700,hit
3,0.245,0.700,hit
3,0.258,0.700,hit
3,0.266,0.700,hit
3,0.276,0.700,strikeout
7,0.327,0.660,hit
7,0.262,0.660,hit
7,0.245,0.660,strikeout
7,0.258,0.660,hit
8,0.257,0.610,hit
8,0.266,0.650,hit
8,0.276,0.650,hit
9,0.258,0.610,walk
9,0.288,0.610,hit
9,0.222,0.610,strikeout
1,0.221,0.620,hit
1,0.251,0.620,hit
2,0.170,0.620,hit
2,0.222,0.620,hit
3,0.205,0.620,hit
3,0.221,0.620,hit
4,0.251,0.620,hit
4,0.170,0.620,hit
4,0.222,0.620,strikeout
5,0.205,0.620,strikeout
5,0.221,0.620,hit
7,0.221,0.690,hit
8,0.251,0.690,hit
8,0.170,0.690,hit
8,0.222,0.690,strikeout
8,0.205,0.650,hit
8,0.221,0.650,hit
9,0.251,0.650,strikeout
9,0.276,0.570,hit
9,0.170,0.570,hit
9,0.276,0.570,hit
1,0.275,0.650,hit
1,0.250,0.650,hit
1,0.209,0.650,hit
1,0.199,0.650,walk
1,0.232,0.650,hit
1,0.240,0.650,hit
1,0.276,0.660,hit
1,0.327,0.660,hit
1,0.245,0.660,hit
2,0.232,0.650,hit
2,0.266,0.650,hit
2,0.253,0.650,hit
2,0.275,0.650,strikeout
2,0.258,0.660,hit
2,0.262,0.660,hit
3,0.250,0.650,strikeout
3,0.209,0.650,hit
3,0.199,0.650,strikeout
3,0.232,0.650,hit
3,0.276,0.660,hit
3,0.170,0.660,strikeout
3,0.276,0.660,hit
4,0.240,0.650,hit
4,0.232,0.650,hit
4,0.266,0.650,hit
4,0.253,0.650,walk
4,0.275,0.650,strikeout
4,0.327,0.660,hit
4,0.245,0.660,hit
4,0.258,0.660,hit
4,0.262,0.660,hit
4,0.276,0.660,hit
4,0.170,0.660,hit
5,0.250,0.650,walk
5,0.209,0.650,strikeout
5,0.276,0.660,strikeout
5,0.327,0.660,hit
5,0.245,0.660,hit
5,0.258,0.660,hit
5,0.262,0.660,hit
6,0.232,0.700,hit
6,0.240,0.700,walk
6,0.232,0.700,hit
6,0.266,0.700,hit
6,0.253,0.700,strikeout
7,0.275,0.700,strikeout
7,0.250,0.700,hit
7,0.209,0.700,hit
7,0.245,0.650,strikeout
7,0.258,0.650,hit
7,0.262,0.650,walk
7,0.276,0.650,hit
7,0.170,0.650,hit
8,0.199,0.700,hit
8,0.232,0.700,hit
8,0.240,0.700,walk
8,0.232,0.700,strikeout
8,0.185,0.650,walk
8,0.276,0.650,hit
8,0.327,0.650,hit
8,0.245,0.650,hit
8,0.258,0.650,strikeout
9,0.266,0.610,hit
9,0.253,0.610,hit
9,0.275,0.610,hit
1,0.209,0.660,hit
1,0.251,0.660,strikeout
2,0.222,0.660,strikeout
3,0.185,0.660,hit
3,0.238,0.660,hit
3,0.209,0.660,hit
4,0.251,0.660,hit
5,0.222,0.640,strikeout
5,0.185,0.640,hit
5,0.238,0.640,hit
6,0.209,0.630,hit
6,0.251,0.630,hit
6,0.222,0.660,hit
6,0.250,0.650,hit
6,0.248,0.650,hit
6,0.235,0.650,strikeout
7,0.185,0.660,strikeout
7,0.238,0.660,hit
8,0.209,0.640,hit
8,0.251,0.640,strikeout
9,0.225,0.660,strikeout
9,0.222,0.660,hit
1,0.444,0.640,hit
1,0.250,0.640,walk
1,0.266,0.640,hit
1,0.275,0.640,strikeout
1,0.258,0.650,hit
1,0.306,0.650,hit
1,0.264,0.650,strikeout
1,0.258,0.650,hit
2,0.199,0.640,hit
2,0.232,0.640,hit
2,0.248,0.650,hit
2,0.240,0.650,hit
2,0.228,0.650,strikeout
3,0.207,0.640,strikeout
3,0.444,0.640,hit
3,0.258,0.650,hit
3,0.306,0.650,strikeout
3,0.264,0.650,hit
3,0.258,0.650,hit
4,0.250,0.640,hit
4,0.266,0.640,hit
4,0.275,0.640,hit
4,0.248,0.650,hit
4,0.240,0.650,hit
4,0.228,0.650,hit
5,0.199,0.640,hit
5,0.232,0.640,hit
5,0.207,0.640,hit
5,0.258,0.650,strikeout
5,0.306,0.650,hit
5,0.264,0.650,hit
5,0.258,0.650,hit
6,0.444,0.640,strikeout
6,0.250,0.640,walk
6,0.266,0.640,hit
6,0.275,0.640,hit
6,0.248,0.650,strikeout
6,0.240,0.650,walk
7,0.199,0.640,hit
7,0.232,0.640,hit
7,0.240,0.640,hit
7,0.444,0.640,hit
7,0.250,0.640,hit
8,0.266,0.710,hit
8,0.275,0.710,strikeout
8,0.199,0.710,hit
9,0.232,0.660,walk
9,0.240,0.660,hit
9,0.444,0.660,hit
9,0.250,0.660,strikeout
1,0.258,0.660,strikeout
1,0.306,0.660,hit
1,0.264,0.660,hit
1,0.261,0.660,hit
2,0.240,0.660,hit
2,0.250,0.660,hit
3,0.248,0.660,hit
3,0.258,0.660,strikeout
3,0.306,0.660,hit
4,0.264,0.660,hit
4,0.261,0.660,hit
4,0.240,0.660,hit
5,0.250,0.660,hit
5,0.248,0.660,strikeout
5,0.258,0.660,hit
5,0.306,0.660,hit
5,0.264,0.660,hit
6,0.261,0.660,hit
6,0.240,0.660,hit
7,0.191,0.660,hit
7,0.273,0.660,strikeout
7,0.242,0.640,hit
7,0.210,0.640,hit
7,0.188,0.640,hit
7,0.267,0.640,hit
7,0.244,0.670,strikeout
7,0.191,0.670,walk
7,0.250,0.600,hit
7,0.248,0.600,hit
7,0.258,0.600,strikeout
8,0.273,0.670,hit
8,0.242,0.670,strikeout
8,0.210,0.670,hit
8,0.306,0.640,hit
8,0.264,0.640,hit
8,0.261,0.640,strikeout
5,0.258,0.600,hit
6,0.264,0.600,hit
6,0.306,0.600,hit
6,0.250,0.620,hit
6,0.258,0.620,strikeout
7,0.248,0.640,walk
7,0.240,0.640,strikeout
7,0.228,0.640,walk
7,0.272,0.640,hit
7,0.258,0.640,hit
8,0.313,0.660,hit
8,0.250,0.660,hit
8,0.330,0.660,hit
1,0.263,0.660,hit
1,0.264,0.660,hit
1,0.248,0.660,hit
1,0.258,0.620,hit
1,0.264,0.620,hit
1,0.261,0.620,hit
1,0.306,0.620,hit
1,0.240,0.620,walk
1,0.258,0.620,hit
2,0.285,0.660,hit
2,0.283,0.660,strikeout
2,0.248,0.620,hit
2,0.228,0.620,hit
3,0.233,0.660,strikeout
3,0.247,0.660,strikeout
3,0.258,0.620,hit
3,0.264,0.620,hit
3,0.261,0.620,hit
4,0.263,0.660,hit
4,0.264,0.660,hit
4,0.248,0.660,strikeout
4,0.285,0.660,hit
4,0.306,0.620,hit
4,0.240,0.620,hit
4,0.258,0.620,strikeout
5,0.283,0.660,strikeout
5,0.233,0.660,strikeout
5,0.248,0.620,hit
5,0.228,0.620,hit
5,0.258,0.620,walk
5,0.264,0.620,hit
5,0.261,0.620,hit
6,0.247,0.660,hit
6,0.263,0.660,hit
6,0.248,0.660,walk
6,0.285,0.660,hit
8,0.248,0.640,strikeout
8,0.285,0.640,strikeout
8,0.258,0.610,strikeout
8,0.248,0.610,walk
8,0.228,0.610,strikeout
9,0.283,0.660,hit
9,0.233,0.660,hit
9,0.247,0.660,hit
4,0.276,0.640,strikeout
4,0.327,0.640,hit
4,0.270,0.640,strikeout
4,0.248,0.700,strikeout
4,0.228,0.700,hit
4,0.258,0.700,strikeout
5,0.245,0.660,walk
5,0.264,0.660,hit
5,0.262,0.660,hit
5,0.258,0.660,walk
5,0.276,0.660,hit
5,0.306,0.700,strikeout
5,0.264,0.700,walk
5,0.258,0.700,strikeout
5,0.261,0.700,strikeout
6,0.240,0.630,hit
6,0.248,0.630,hit
7,0.262,0.630,hit
7,0.258,0.630,hit
7,0.276,0.630,hit
7,0.228,0.690,hit
7,0.258,0.690,hit
7,0.306,0.690,hit
7,0.264,0.690,strikeout
8,0.327,0.630,hit
8,0.270,0.670,strikeout
8,0.245,0.670,hit
8,0.264,0.670,hit
8,0.258,0.650,strikeout
8,0.261,0.650,hit
8,0.240,0.650,hit
9,0.262,0.670,walk
9,0.258,0.670,hit
5,0.248,0.650,hit
5,0.250,0.650,hit
5,0.235,0.650,hit
7,0.185,0.630,hit
7,0.238,0.630,hit
8,0.209,0.630,strikeout
8,0.251,0.660,hit
8,0.222,0.660,hit
9,0.225,0.660,hit
9,0.185,0.660,walk
9,0.238,0.660,hit
1,0.264,0.640,strikeout
1,0.263,0.640,hit
1,0.253,0.640,strikeout
1,0.276,0.640,hit
1,0.327,0.640,strikeout
1,0.262,0.640,strikeout
2,0.207,0.640,strikeout
2,0.245,0.640,strikeout
2,0.258,0.640,hit
2,0.266,0.640,hit
3,0.264,0.640,hit
3,0.263,0.640,hit
3,0.253,0.640,hit
3,0.185,0.640,walk
3,0.266,0.640,strikeout
3,0.276,0.640,hit
3,0.327,0.640,hit
4,0.207,0.640,hit
4,0.262,0.640,hit
4,0.245,0.640,strikeout
4,0.258,0.640,strikeout
5,0.264,0.640,hit
5,0.263,0.640,walk
5,0.253,0.640,hit
5,0.266,0.640,hit
5,0.185,0.640,hit
6,0.207,0.640,hit
6,0.266,0.640,walk
6,0.276,0.640,hit
7,0.264,0.610,hit
7,0.263,0.610,hit
7,0.253,0.610,hit
8,0.207,0.700,strikeout
9,0.304,0.610,hit
9,0.264,0.610,strikeout
9,0.263,0.610,strikeout
1,0.354,0.650,hit
1,0.230,0.650,strikeout
1,0.207,0.650,hit
1,0.260,0.650,hit
1,0.255,0.650,hit
2,0.270,0.650,hit
2,0.176,0.650,hit
2,0.211,0.650,hit
2,0.276,0.650,hit
2,0.354,0.650,hit
2,0.230,0.650,walk
2,0.207,0.650,strikeout
3,0.260,0.650,hit
3,0.255,0.650,walk
3,0.270,0.650,walk
3,0.176,0.650,walk
3,0.211,0.650,hit
3,0.276,0.700,strikeout
3,0.354,0.700,hit
4,0.230,0.700,hit
4,0.207,0.700,walk
4,0.260,0.700,hit
5,0.255,0.700,hit
5,0.270,0.700,strikeout
5,0.176,0.700,hit
6,0.211,0.700,hit
6,0.276,0.700,hit
6,0.354,0.700,hit
6,0.230,0.700,hit
6,0.262,0.660,hit
6,0.270,0.660,walk
7,0.185,0.680,hit
7,0.276,0.680,hit
9,0.270,0.610,hit
9,0.258,0.610,hit
9,0.185,0.610,hit
8,0.207,0.610,strikeout
8,0.253,0.610,strikeout
8,0.275,0.610,hit
8,0.250,0.610,hit
9,0.199,0.610,hit
9,0.232,0.610,strikeout
9,0.232,0.610,walk
9,0.240,0.610,strikeout
1,0.213,0.660,hit
1,0.251,0.660,strikeout
1,0.185,0.610,walk
1,0.276,0.610,hit
1,0.327,0.610,hit
1,0.262,0.610,walk
1,0.258,0.610,walk
1,0.266,0.610,hit
2,0.222,0.660,strikeout
2,0.185,0.610,hit
2,0.276,0.610,hit
3,0.209,0.660,hit
3,0.221,0.660,hit
3,0.327,0.610,hit
3,0.262,0.610,hit
3,0.258,0.610,hit
4,0.213,0.660,hit
4,0.251,0.660,hit
4,0.222,0.660,hit
4,0.266,0.610,hit
5,0.209,0.660,hit
5,0.185,0.610,hit
5,0.276,0.610,walk
5,0.327,0.610,strikeout
6,0.221,0.660,strikeout
6,0.262,0.610,hit
6,0.258,0.610,hit
7,0.213,0.660,strikeout
7,0.251,0.660,hit
7,0.222,0.660,hit
9,0.221,0.610,strikeout
9,0.213,0.610,hit
9,0.251,0.610,walk
9,0.222,0.610,hit
6,0.222,0.610,hit
7,0.209,0.610,hit
1,0.276,0.620,hit
1,0.327,0.620,hit
1,0.258,0.620,walk
1,0.262,0.620,walk
1,0.245,0.620,hit
1,0.266,0.620,hit
2,0.185,0.620,strikeout
2,0.170,0.620,hit
2,0.276,0.620,walk
2,0.327,0.620,hit
3,0.258,0.620,hit
3,0.262,0.620,hit
3,0.245,0.620,strikeout
4,0.266,0.620,hit
4,0.185,0.620,hit
4,0.170,0.620,hit
5,0.276,0.620,hit
5,0.327,0.620,hit
6,0.258,0.620,strikeout
6,0.262,0.620,hit
6,0.245,0.620,strikeout
7,0.155,0.650,strikeout
7,0.245,0.650,strikeout
7,0.266,0.650,strikeout
7,0.185,0.650,hit
7,0.170,0.650,hit
8,0.264,0.650,hit
8,0.272,0.650,hit
8,0.237,0.650,hit
9,0.258,0.610,hit
9,0.260,0.610,strikeout
1,0.233,0.640,strikeout
1,0.277,0.640,hit
1,0.257,0.640,hit
2,0.270,0.640,strikeout
2,0.264,0.640,strikeout
2,0.254,0.640,hit
2,0.217,0.640,strikeout
3,0.200,0.640,hit
3,0.233,0.640,hit
3,0.277,0.640,hit
4,0.257,0.640,strikeout
4,0.270,0.640,walk
4,0.264,0.640,strikeout
4,0.254,0.640,strikeout
5,0.217,0.640,hit
5,0.200,0.640,strikeout
5,0.233,0.640,hit
5,0.277,0.640,walk
5,0.257,0.640,strikeout
6,0.270,0.640,hit
6,0.264,0.640,hit
6,0.254,0.640,walk
6,0.217,0.640,hit
7,0.200,0.700,strikeout
7,0.233,0.700,walk
7,0.277,0.700,walk
7,0.257,0.610,hit
7,0.270,0.610,hit
7,0.262,0.630,hit
8,0.264,0.610,hit
8,0.217,0.610,walk
8,0.233,0.610,hit
8,0.245,0.630,strikeout
8,0.266,0.630,hit
8,0.276,0.630,hit
9,0.277,0.610,walk
9,0.257,0.610,hit
9,0.270,0.610,strikeout
9,0.264,0.610,hit
1,0.233,0.660,hit
1,0.277,0.660,hit
1,0.257,0.660,hit
1,0.270,0.660,strikeout
1,0.264,0.660,hit
2,0.254,0.660,strikeout
2,0.217,0.660,hit
2,0.233,0.660,hit
2,0.277,0.660,walk
2,0.257,0.610,hit
2,0.270,0.610,hit
2,0.264,0.610,hit
3,0.254,0.610,hit
3,0.217,0.610,hit
7,0.266,0.710,hit
7,0.276,0.710,strikeout
8,0.276,0.710,strikeout
8,0.327,0.710,hit
8,0.258,0.710,hit
9,0.264,0.630,strikeout
9,0.254,0.630,hit
9,0.262,0.710,hit
9,0.245,0.710,hit
9,0.266,0.710,hit
1,0.330,0.660,strikeout
1,0.254,0.660,hit
1,0.313,0.660,hit
2,0.264,0.660,hit
2,0.250,0.660,walk
2,0.252,0.660,hit
2,0.222,0.660,hit
2,0.330,0.660,hit
2,0.254,0.660,strikeout
3,0.313,0.660,strikeout
3,0.264,0.660,strikeout
4,0.250,0.660,hit
4,0.252,0.660,strikeout
4,0.222,0.660,hit
5,0.330,0.660,hit
5,0.254,0.660,hit
6,0.313,0.660,hit
6,0.264,0.660,hit
6,0.235,0.640,strikeout
7,0.250,0.660,hit
7,0.252,0.660,hit
7,0.222,0.660,hit
7,0.330,0.660,strikeout
7,0.284,0.640,hit
7,0.258,0.640,hit
9,0.250,0.640,hit
9,0.252,0.640,hit
9,0.222,0.640,walk
9,0.330,0.640,hit
9,0.254,0.640,hit
1,0.273,0.660,hit
1,0.258,0.640,walk
1,0.306,0.640,hit
1,0.264,0.640,hit
2,0.293,0.660,strikeout
2,0.284,0.660,hit
2,0.261,0.640,hit
2,0.240,0.640,hit
2,0.250,0.640,strikeout
3,0.263,0.660,strikeout
3,0.191,0.660,hit
3,0.273,0.660,strikeout
3,0.248,0.640,hit
4,0.293,0.660,strikeout
4,0.258,0.640,hit
4,0.306,0.640,hit
4,0.264,0.640,hit
5,0.284,0.660,hit
5,0.263,0.660,strikeout
5,0.261,0.640,hit
5,0.240,0.640,walk
5,0.250,0.640,hit
5,0.248,0.640,hit
6,0.191,0.660,hit
6,0.273,0.660,hit
6,0.293,0.660,hit
6,0.258,0.640,hit
6,0.306,0.640,hit
6,0.264,0.640,hit
7,0.284,0.660,hit
7,0.263,0.660,strikeout
7,0.191,0.660,strikeout
7,0.261,0.640,hit
7,0.240,0.640,hit
7,0.250,0.640,hit
7,0.248,0.650,hit
8,0.273,0.630,hit
8,0.293,0.630,hit
8,0.258,0.650,hit
8,0.306,0.650,strikeout
9,0.284,0.660,hit
9,0.262,0.660,hit
9,0.263,0.660,strikeout
1,0.273,0.640,strikeout
1,0.263,0.640,hit
1,0.262,0.640,hit
1,0.293,0.640,strikeout
2,0.284,0.640,hit
2,0.222,0.640,strikeout
2,0.191,0.640,strikeout
3,0.273,0.640,walk
3,0.263,0.640,hit
3,0.262,0.640,walk
3,0.293,0.640,hit
3,0.284,0.640,hit
4,0.222,0.670,hit
4,0.191,0.670,hit
4,0.273,0.670,hit
4,0.263,0.670,hit
4,0.262,0.670,hit
5,0.293,0.630,walk
5,0.284,0.640,hit
6,0.222,0.640,hit
6,0.191,0.640,hit
6,0.273,0.640,walk
6,0.263,0.640,hit
6,0.262,0.640,walk
6,0.293,0.640,hit
6,0.284,0.640,hit
6,0.248,0.620,hit
6,0.276,0.620,hit
6,0.258,0.620,strikeout
6,0.306,0.620,strikeout
6,0.264,0.620,hit
7,0.222,0.640,hit
7,0.191,0.640,walk
7,0.273,0.640,hit
7,0.263,0.640,strikeout
7,0.261,0.650,hit
7,0.240,0.650,hit
7,0.248,0.650,hit
7,0.250,0.650,strikeout
8,0.258,0.630,strikeout
8,0.306,0.630,hit
8,0.264,0.630,strikeout
9,0.261,0.650,walk
9,0.240,0.650,strikeout
9,0.248,0.650,strikeout
1,0.268,0.620,hit
1,0.256,0.620,hit
1,0.282,0.620,strikeout
1,0.276,0.660,hit
1,0.327,0.660,hit
1,0.262,0.660,strikeout
2,0.261,0.620,hit
2,0.210,0.620,hit
2,0.245,0.660,strikeout
2,0.258,0.660,hit
2,0.266,0.660,strikeout
3,0.242,0.620,hit
3,0.235,0.620,hit
3,0.268,0.620,hit
3,0.256,0.620,hit
3,0.282,0.620,strikeout
3,0.261,0.620,hit
3,0.185,0.660,strikeout
3,0.266,0.660,strikeout
4,0.210,0.620,walk
4,0.242,0.620,hit
4,0.235,0.620,hit
4,0.276,0.660,hit
4,0.327,0.660,strikeout
4,0.262,0.660,hit
4,0.245,0.660,hit
4,0.258,0.660,hit
5,0.268,0.620,hit
5,0.256,0.620,hit
5,0.282,0.620,strikeout
5,0.266,0.660,hit
5,0.185,0.660,hit
5,0.266,0.660,hit
6,0.261,0.690,hit
6,0.210,0.690,hit
6,0.242,0.690,strikeout
6,0.235,0.690,strikeout
7,0.268,0.690,hit
7,0.256,0.690,strikeout
7,0.282,0.690,hit
8,0.256,0.630,hit
8,0.266,0.610,hit
8,0.276,0.610,walk
8,0.327,0.610,hit
8,0.262,0.610,hit
8,0.245,0.610,strikeout
8,0.258,0.610,strikeout
9,0.282,0.630,hit
9,0.261,0.630,walk
9,0.210,0.630,hit
1,0.258,0.650,hit
1,0.264,0.650,hit
1,0.306,0.650,hit
1,0.250,0.650,hit
1,0.240,0.650,hit
1,0.276,0.660,strikeout
1,0.327,0.660,hit
1,0.262,0.660,hit
2,0.240,0.650,strikeout
2,0.248,0.650,hit
2,0.228,0.650,hit
2,0.258,0.660,hit
2,0.266,0.660,hit
3,0.258,0.650,hit
3,0.264,0.650,hit
3,0.306,0.650,hit
3,0.250,0.650,hit
3,0.266,0.660,hit
3,0.185,0.660,strikeout
3,0.170,0.660,strikeout
3,0.276,0.660,hit
4,0.240,0.650,hit
4,0.248,0.650,strikeout
4,0.327,0.660,hit
4,0.262,0.660,hit
4,0.258,0.660,hit
5,0.228,0.650,hit
5,0.258,0.650,strikeout
5,0.266,0.660,hit
5,0.266,0.660,hit
6,0.264,0.650,strikeout
6,0.306,0.650,hit
6,0.250,0.650,walk
6,0.240,0.650,hit
6,0.248,0.630,hit
6,0.185,0.660,hit
6,0.170,0.660,hit
6,0.276,0.660,hit
6,0.327,0.660,hit
6,0.262,0.660,hit
7,0.228,0.700,hit
7,0.258,0.700,hit
7,0.258,0.660,hit
7,0.266,0.660,hit
7,0.266,0.660,hit
7,0.185,0.640,strikeout
8,0.264,0.700,hit
8,0.306,0.700,hit
8,0.250,0.700,strikeout
8,0.240,0.700,strikeout
8,0.170,0.640,hit
8,0.276,0.640,hit
8,0.327,0.630,hit
8,0.262,0.630,hit
8,0.258,0.630,hit
9,0.248,0.610,hit
9,0.228,0.610,hit
9,0.235,0.610,hit
9,0.258,0.610,hit
9,0.266,0.660,hit
9,0.266,0.660,strikeout
9,0.245,0.660,hit
1,0.311,0.650,hit
1,0.263,0.650,hit
1,0.262,0.650,hit
1,0.284,0.650,hit
1,0.276,0.640,strikeout
1,0.327,0.640,hit
1,0.262,0.640,hit
2,0.223,0.650,walk
2,0.273,0.650,strikeout
2,0.245,0.640,hit
2,0.258,0.640,hit
2,0.266,0.640,hit
3,0.311,0.650,hit
3,0.263,0.650,strikeout
3,0.262,0.650,walk
3,0.284,0.650,hit
3,0.223,0.650,hit
3,0.276,0.640,hit
3,0.170,0.640,hit
3,0.276,0.640,hit
3,0.327,0.640,hit
4,0.273,0.650,hit
4,0.311,0.650,hit
4,0.263,0.650,hit
4,0.262,0.650,hit
4,0.284,0.650,hit
4,0.262,0.640,hit
