Inning,Batter_Avg,strike_percentage,At_Bat_Outcome
7,0.244,0.650,hit
7,0.225,0.650,hit
7,0.283,0.650,walk
8,0.331,0.660,strikeout
8,0.261,0.660,hit
8,0.212,0.660,hit
9,0.276,0.680,strikeout
9,0.307,0.680,strikeout
9,0.237,0.680,hit
9,0.266,0.680,hit
10,0.283,0.650,hit
10,0.281,0.650,strikeout
10,0.264,0.650,strikeout
10,0.289,0.650,hit
1,0.271,0.630,hit
1,0.263,0.630,hit
1,0.233,0.630,strikeout
2,0.224,0.630,hit
2,0.276,0.630,hit
3,0.271,0.630,hit
3,0.263,0.630,hit
3,0.233,0.630,hit
4,0.224,0.630,hit
4,0.276,0.630,hit
5,0.271,0.630,hit
5,0.263,0.630,hit
5,0.233,0.630,hit
6,0.224,0.630,strikeout
8,0.271,0.660,hit
8,0.263,0.660,hit
8,0.233,0.660,strikeout
9,0.224,0.680,strikeout
1,0.337,0.670,hit
1,0.244,0.670,hit
1,0.281,0.670,strikeout
1,0.283,0.670,hit
1,0.280,0.670,strikeout
2,0.274,0.670,hit
2,0.289,0.670,hit
2,0.293,0.670,strikeout
3,0.337,0.670,hit
3,0.244,0.670,hit
3,0.281,0.670,strikeout
3,0.283,0.670,strikeout
4,0.280,0.670,hit
4,0.274,0.670,hit
4,0.289,0.670,hit
4,0.293,0.670,hit
5,0.337,0.670,hit
5,0.244,0.670,hit
5,0.281,0.670,hit
6,0.283,0.670,hit
6,0.280,0.670,hit
9,0.213,0.680,hit
1,0.245,0.610,hit
1,0.258,0.610,hit
2,0.237,0.610,strikeout
2,0.203,0.610,hit
2,0.303,0.610,hit
3,0.245,0.610,strikeout
4,0.258,0.610,hit
4,0.237,0.610,hit
5,0.203,0.610,strikeout
5,0.303,0.610,hit
5,0.245,0.610,hit
9,0.203,0.640,hit
9,0.303,0.640,hit
1,0.337,0.570,hit
1,0.244,0.570,hit
1,0.283,0.570,hit
1,0.281,0.570,hit
2,0.274,0.570,hit
2,0.255,0.570,strikeout
2,0.289,0.570,strikeout
2,0.264,0.570,hit
2,0.293,0.570,strikeout
3,0.337,0.570,strikeout
3,0.244,0.570,hit
3,0.283,0.570,hit
3,0.281,0.570,hit
3,0.274,0.570,walk
3,0.255,0.570,hit
3,0.289,0.570,hit
4,0.264,0.570,hit
4,0.293,0.570,hit
4,0.337,0.570,hit
6,0.260,0.700,hit
6,0.268,0.700,hit
6,0.000,0.700,strikeout
7,0.337,0.650,strikeout
7,0.244,0.650,strikeout
7,0.283,0.650,strikeout
8,0.281,0.650,hit
8,0.274,0.650,hit
8,0.255,0.650,hit
8,0.289,0.650,walk
9,0.268,0.640,hit
9,0.000,0.640,hit
10,0.299,0.640,hit
10,0.266,0.640,hit
10,0.270,0.640,strikeout
10,0.274,0.610,hit
10,0.255,0.610,hit
10,0.289,0.610,hit
11,0.225,0.610,hit
11,0.293,0.610,hit
11,0.337,0.610,hit
11,0.244,0.610,hit
12,0.283,0.600,hit
12,0.281,0.600,hit
1,0.275,0.610,walk
1,0.270,0.610,hit
2,0.266,0.610,strikeout
2,0.260,0.610,hit
3,0.268,0.610,hit
3,0.275,0.610,hit
3,0.270,0.610,hit
4,0.266,0.610,hit
4,0.260,0.610,strikeout
4,0.283,0.600,strikeout
4,0.281,0.600,strikeout
4,0.274,0.600,hit
5,0.268,0.610,strikeout
5,0.275,0.610,hit
5,0.270,0.610,hit
5,0.255,0.600,hit
5,0.289,0.600,hit
5,0.264,0.600,strikeout
6,0.270,0.610,hit
6,0.266,0.610,strikeout
6,0.293,0.670,hit
6,0.337,0.670,hit
6,0.244,0.670,hit
6,0.283,0.670,hit
6,0.281,0.670,hit
7,0.260,0.610,hit
7,0.274,0.670,hit
7,0.255,0.670,hit
7,0.289,0.670,hit
8,0.264,0.670,hit
8,0.293,0.670,hit
8,0.337,0.670,strikeout
1,0.245,0.620,hit
1,0.260,0.620,hit
1,0.237,0.620,hit
2,0.264,0.620,hit
2,0.203,0.620,hit
3,0.245,0.620,hit
3,0.260,0.620,hit
3,0.237,0.620,hit
4,0.264,0.620,hit
4,0.203,0.620,strikeout
5,0.245,0.620,hit
5,0.260,0.620,hit
6,0.237,0.620,hit
6,0.264,0.620,hit
6,0.203,0.620,hit
7,0.245,0.620,hit
7,0.260,0.610,hit
7,0.237,0.610,hit
1,0.253,0.620,strikeout
1,0.277,0.620,hit
1,0.263,0.620,strikeout
1,0.245,0.620,hit
1,0.264,0.620,hit
1,0.237,0.620,walk
1,0.303,0.620,hit
2,0.125,0.620,hit
2,0.203,0.620,hit
2,0.245,0.620,hit
3,0.207,0.620,hit
3,0.255,0.620,strikeout
3,0.264,0.620,hit
3,0.237,0.620,hit
4,0.253,0.620,hit
4,0.277,0.620,strikeout
4,0.263,0.620,strikeout
4,0.125,0.620,hit
4,0.303,0.620,walk
4,0.203,0.620,hit
5,0.207,0.620,strikeout
5,0.245,0.620,hit
5,0.264,0.620,hit
6,0.255,0.620,hit
6,0.253,0.620,hit
6,0.277,0.620,hit
6,0.237,0.620,hit
6,0.303,0.620,strikeout
6,0.203,0.620,hit
7,0.263,0.620,strikeout
7,0.125,0.620,hit
1,0.231,0.620,strikeout
1,0.254,0.620,strikeout
2,0.330,0.620,hit
3,0.264,0.620,hit
3,0.265,0.620,strikeout
4,0.231,0.620,strikeout
4,0.254,0.620,hit
4,0.330,0.620,hit
5,0.264,0.620,hit
5,0.265,0.620,hit
6,0.231,0.620,walk
6,0.254,0.620,strikeout
6,0.330,0.620,hit
6,0.237,0.640,strikeout
6,0.272,0.640,strikeout
7,0.264,0.620,hit
7,0.265,0.620,strikeout
7,0.231,0.620,hit
7,0.203,0.610,hit
7,0.258,0.610,hit
7,0.303,0.610,strikeout
8,0.258,0.520,walk
8,0.185,0.520,walk
8,0.303,0.520,strikeout
1,0.277,0.580,walk
1,0.272,0.580,hit
1,0.262,0.580,hit
1,0.255,0.580,strikeout
1,0.249,0.580,walk
1,0.276,0.580,hit
1,0.245,0.550,hit
1,0.258,0.550,hit
1,0.203,0.550,hit
2,0.240,0.580,hit
2,0.220,0.580,hit
2,0.237,0.550,hit
2,0.303,0.550,hit
3,0.277,0.580,strikeout
3,0.272,0.580,hit
3,0.262,0.580,hit
3,0.255,0.580,hit
3,0.267,0.550,strikeout
4,0.249,0.580,walk
4,0.276,0.580,hit
4,0.240,0.580,hit
4,0.220,0.580,hit
4,0.245,0.550,strikeout
4,0.258,0.550,hit
4,0.203,0.550,hit
5,0.277,0.580,walk
5,0.272,0.580,hit
5,0.262,0.580,hit
5,0.255,0.580,strikeout
5,0.237,0.550,hit
5,0.303,0.550,hit
6,0.249,0.630,hit
6,0.276,0.630,hit
6,0.240,0.630,hit
6,0.220,0.630,walk
6,0.267,0.550,hit
6,0.245,0.550,hit
7,0.277,0.630,hit
7,0.272,0.630,hit
7,0.262,0.630,hit
7,0.258,0.550,hit
7,0.203,0.550,hit
7,0.237,0.550,hit
9,0.263,0.620,hit
9,0.277,0.620,hit
9,0.272,0.620,hit
9,0.245,0.630,hit
9,0.258,0.630,walk
9,0.203,0.630,strikeout
9,0.237,0.630,strikeout
10,0.262,0.620,walk
10,0.255,0.620,strikeout
10,0.249,0.620,walk
10,0.276,0.620,strikeout
10,0.240,0.620,hit
1,0.245,0.620,hit
1,0.264,0.620,hit
1,0.237,0.620,strikeout
2,0.303,0.620,strikeout
2,0.267,0.620,hit
3,0.245,0.620,hit
3,0.264,0.620,hit
4,0.237,0.620,hit
4,0.303,0.620,strikeout
4,0.267,0.620,hit
5,0.245,0.620,hit
5,0.264,0.620,hit
5,0.237,0.620,walk
6,0.263,0.630,hit
7,0.304,0.620,hit
7,0.236,0.620,hit
7,0.125,0.620,hit
5,0.255,0.630,hit
5,0.249,0.630,hit
6,0.276,0.630,hit
6,0.220,0.630,hit
6,0.277,0.630,walk
8,0.258,0.640,strikeout
8,0.237,0.640,hit
8,0.267,0.640,hit
9,0.303,0.640,hit
5,0.209,0.630,strikeout
6,0.444,0.630,hit
6,0.232,0.630,hit
6,0.253,0.630,strikeout
7,0.266,0.620,walk
7,0.240,0.620,strikeout
7,0.250,0.620,walk
7,0.199,0.620,strikeout
1,0.145,0.630,strikeout
1,0.217,0.630,hit
1,0.278,0.630,hit
1,0.337,0.630,hit
1,0.283,0.630,hit
1,0.281,0.630,hit
1,0.274,0.630,hit
2,0.128,0.630,walk
2,0.234,0.630,strikeout
2,0.215,0.630,strikeout
2,0.280,0.630,hit
2,0.225,0.630,hit
2,0.247,0.630,hit
3,0.259,0.630,hit
3,0.145,0.630,hit
3,0.244,0.630,strikeout
3,0.337,0.630,strikeout
3,0.283,0.630,walk
3,0.281,0.630,hit
4,0.217,0.630,strikeout
4,0.278,0.630,hit
4,0.128,0.630,strikeout
4,0.274,0.630,strikeout
4,0.280,0.630,hit
4,0.225,0.630,strikeout
4,0.247,0.630,hit
5,0.234,0.630,hit
5,0.215,0.630,hit
5,0.244,0.630,strikeout
5,0.337,0.630,hit
5,0.283,0.630,hit
5,0.281,0.630,hit
6,0.259,0.630,hit
6,0.145,0.630,hit
6,0.217,0.630,hit
6,0.278,0.630,hit
6,0.274,0.630,hit
6,0.280,0.630,hit
6,0.225,0.630,strikeout
